category,fraction,average_dot_product,variance,second_best_category
frog,0.02031021770884051,0.3010957,5.343189e-05,Large frog
Large frog,0.0013215552618766084,0.29946414,0.00010110203,frog
frogs,6.955554009876887e-05,0.30867374,0.0,Large frogs
camels,0.007511998330667038,0.30730513,4.6482794e-05,camel
Large camel,0.0017388885024692217,0.3074675,9.310722e-05,camel
camel,0.005355776587605203,0.3047966,4.2519012e-05,camels
Large camels,0.000556444320790151,0.31428072,0.00011331588,camels
Large falcon,0.0158586631425193,0.3049589,3.4307177e-05,falcon
falcon,0.0022953328232593728,0.30206746,2.13204e-05,Large falcon
Large eagle,0.010781108715309174,0.30322984,5.2808948e-05,eagle
Large hawk,0.00792933157125965,0.30387142,3.038373e-05,Large falcon
eagle,0.006677331849481811,0.2996497,3.7521124e-05,Large eagle
Large hawks,0.0003477777004938443,0.29707503,4.864335e-05,Large hawk
Large falcons,6.955554009876887e-05,0.2954619,0.0,Large falcon
fox,0.007790220491062113,0.30982706,4.9625123e-05,Large fox
Large fox,0.0074424427905682685,0.30834404,7.3352705e-05,fox
Large spider,0.013006885998469778,0.29693538,4.633735e-05,Large spiders
porcupines,6.955554009876887e-05,0.2776535,0.0,porcupine
spider,0.0012519997217778397,0.29706094,0.00013152759,Large spider
spiders,0.00013911108019753774,0.2787396,1.5869737e-06,spider
Large spiders,6.955554009876887e-05,0.3030318,0.0,Large spider
porcupine,0.001599777422271684,0.29942775,0.0007487898,Large porcupine
crocodile,0.005077554427210127,0.30831861,4.663206e-05,Large crocodile
Large crocodile,0.006399109689086736,0.3117652,5.0213024e-05,crocodile
Large crocodiles,0.0027822216039507545,0.31388426,8.3857776e-05,Large crocodile
Large iguana,0.020657995409334353,0.31269693,9.9824334e-05,iguana
crocodiles,6.955554009876887e-05,0.30750597,0.0,Large crocodiles
Large chimpanzee,0.015789107602420534,0.3151052,5.14564e-05,chimpanzee
Large crab,0.008763998052444877,0.31377408,8.153159e-05,crab
crab,0.006190443068790429,0.3063792,4.840165e-05,Large crab
Large crabs,6.955554009876887e-05,0.3060855,0.0,Large crab
hyena,0.012519997217778396,0.31459627,6.724463e-05,Large hyena
Large hyena,0.0022953328232593728,0.31203726,8.17848e-05,hyena
Large hyenas,6.955554009876887e-05,0.31209683,0.0,hyenas
Large cheetah,0.014328441260346386,0.32388812,4.2424617e-05,cheetah
cheetah,0.001043333101481533,0.32097217,5.294482e-05,Large cheetah
Large wolf,0.007164220630173193,0.30193287,3.0962008e-05,wolf
wolfs,0.005703554288099047,0.30052453,2.6353975e-05,wolf
wolf,0.002086666202963066,0.29890287,3.5452842e-05,wolfs
Large wolfs,6.955554009876887e-05,0.3147504,0.0,wolfs
Large jaguar,0.021840439591013425,0.31983387,5.9528717e-05,Large leopard
Large leopard,0.005564443207901509,0.31484804,3.9559603e-05,Large jaguar
Large leopards,6.955554009876887e-05,0.31348675,0.0,Large leopard
leopard,0.00013911108019753774,0.29784286,0.00019316375,Large leopard
Large owl,0.013771996939556235,0.30927315,2.9091883e-05,owl
owl,0.0011824441816790708,0.30820823,4.9990766e-05,Large owl
Large owls,6.955554009876887e-05,0.3415859,0.0,owls
Large gorilla,0.013771996939556235,0.31278905,5.8877347e-05,gorilla
gorilla,0.0004868887806913821,0.30884674,1.8145356e-05,Large gorilla
chinchilla,0.01356333031925993,0.3273351,0.000118549055,Large chinchilla
Large chinchilla,0.0013215552618766084,0.33491626,8.7901164e-05,chinchilla
Large chinchillas,0.00013911108019753774,0.32871407,1.5944242e-06,Large chinchilla
grasshopper,0.014397996800445156,0.3035154,8.62914e-05,Large grasshopper
Large grasshopper,0.0004868887806913821,0.30344602,7.055487e-05,grasshopper
Large grasshoppers,0.00013911108019753774,0.29928678,4.0233135e-07,grasshopper
Large bear,0.013841552479655005,0.30053368,3.161023e-05,bear
bear,0.0011824441816790708,0.2964624,1.699083e-05,Large bear
Large bears,6.955554009876887e-05,0.30158722,0.0,Large bear
sheeps,0.0017388885024692217,0.2987855,1.5039444e-05,Large sheeps
Large sheep,0.009737775613827642,0.30633038,7.200922e-05,sheep
sheep,0.001112888641580302,0.29722348,1.142174e-05,Large sheep
Large sheeps,0.0025039994435556794,0.29908273,3.6531026e-05,sheeps
Large squid,0.012589552757877164,0.29112065,0.00016496459,squid
squid,0.0018779995826667594,0.2802462,0.00039295797,Large squid
snake,0.0014606663420741461,0.28827178,7.459663e-05,Large snake
mongoose,0.006329554148987967,0.301776,0.000127981,Large mongoose
snail,0.012798219378173471,0.3162909,7.197131e-05,Large snail
Large lynxs,6.955554009876887e-05,0.24550337,0.0,lynxs
dolphin,0.014676218960840232,0.30638853,2.7606837e-05,dolphins
Large squids,6.955554009876887e-05,0.26374376,0.0,squid
Large dolphin,6.955554009876887e-05,0.26406288,0.0,Large squid
Large goose,0.012102663977185783,0.30974126,0.00010284336,goose
Large gooses,0.0011824441816790708,0.3020254,4.041195e-05,gooses
goose,0.005981776448494122,0.29932383,5.9294147e-05,Large goose
gooses,0.0007651109410864575,0.29180953,6.124648e-05,Large goose
blackbird,6.955554009876887e-05,0.25350845,0.0,Large blackbird
giraffe,0.013980663559852542,0.2997444,3.2880413e-05,Large giraffe
Large giraffe,0.0007651109410864575,0.3039267,9.08158e-06,giraffe
giraffes,0.0002782221603950755,0.30380073,1.7382205e-05,Large giraffes
Large walrus,0.009042220212839952,0.31743994,0.00012751359,walrus
Large seal,0.005912220908395354,0.30843785,5.6334102e-05,seal
walrus,0.0006259998608889199,0.3124006,0.00013460715,Large walrus
Large whale,0.014467552340543924,0.30545288,2.6317743e-05,whale
Large seals,0.0002782221603950755,0.31445736,1.5087426e-05,Large walrus
seal,0.01411977464005008,0.3101026,4.4977725e-05,Large seal
otter,0.015580440982124227,0.31753507,8.216926e-05,Large otter
Large otter,0.005773109828197816,0.30165163,8.183215e-05,otter
otters,0.001043333101481533,0.33048484,0.00011827946,Large otters
Large flamingo,0.012589552757877164,0.32214364,0.00010186928,flamingo
ostrich,0.006816442929679349,0.31079724,6.819744e-05,Large ostrich
Large ostrich,0.0038951102455310567,0.3064002,8.067914e-05,ostrich
Large flamingos,0.0032691103846421367,0.31502512,6.811669e-05,flamingos
Large bison,0.024970438895458025,0.31090555,3.846575e-05,Large buffalo
Large buffalo,0.003755999165333519,0.31073612,6.438185e-05,Large bison
buffalo,0.0006955554009876886,0.3033785,4.8178434e-05,Large buffalo
Large buffalos,6.955554009876887e-05,0.30853486,0.0,Large bison
Large hedgehog,0.018919106906865133,0.32279897,3.7389644e-05,hedgehog
hedgehog,0.0024344439034569105,0.3204356,3.8535254e-05,Large hedgehog
koala,0.01411977464005008,0.31299183,3.2998072e-05,Large koala
Large koala,0.0006259998608889199,0.31514955,2.2451082e-05,koala
koalas,0.0002782221603950755,0.30924278,3.9570034e-05,Large koalas
hawk,0.0013215552618766084,0.29129228,1.4248647e-05,Large hawk
Large eagles,0.00013911108019753774,0.30144942,5.3331256e-05,eagles
Large snail,0.0016693329623704528,0.3169498,8.096298e-05,snail
Large snails,0.0003477777004938443,0.3077672,1.4322996e-05,snails
snails,0.0002782221603950755,0.3139955,2.9623508e-05,snail
Large blackbird,0.009598664533630103,0.29862535,3.652296e-05,blackbirds
Large blackbirds,0.0014606663420741461,0.29135376,2.675397e-05,Large blackbird
blackbirds,0.00368644362523475,0.29335216,2.07919e-05,Large blackbirds
peacock,0.013632885859358698,0.31807494,6.431463e-05,Large peacocks
Large peacocks,0.0013215552618766084,0.32480752,0.00010853065,peacock
Large peacock,6.955554009876887e-05,0.3078143,0.0,peacock
cat,0.02643110523753217,0.26142308,3.952729e-05,Large cat
cats,0.0004173332405926132,0.27607706,5.5039924e-05,Large cats
lemur,0.014606663420741461,0.31594416,5.0245013e-05,Large lemur
Large cat,0.0027822216039507545,0.26398167,4.530549e-05,cat
lynx,0.0013215552618766084,0.2966487,0.00015692334,Large lynx
Large cats,0.0002782221603950755,0.2780155,3.3907592e-05,cats
Large antelope,0.010920219795506713,0.3083,2.7863083e-05,antelope
Large deer,0.009389997913333796,0.30407068,3.443824e-05,deers
antelope,0.0012519997217778397,0.31040236,4.2306052e-05,Large antelope
Large antelopes,0.0023648883633581416,0.3126675,6.510931e-05,antelopes
deers,0.005077554427210127,0.30265024,3.7317408e-05,Large deer
antelopes,0.00013911108019753774,0.31042612,2.7567148e-07,Large antelope
iguana,0.009737775613827642,0.30275437,3.7949427e-05,Large iguana
Large iguanas,0.0002782221603950755,0.31432173,9.983033e-05,Large iguana
lizards,6.955554009876887e-05,0.29223755,0.0,iguana
Large penguin,0.011128886415803018,0.3069957,6.693006e-05,penguin
penguin,0.0008346664811852264,0.31498918,7.3194504e-05,Large penguin
Large penguins,0.002990888224247061,0.3073824,5.180891e-05,penguins
penguins,6.955554009876887e-05,0.29998448,0.0,Large penguins
seals,6.955554009876887e-05,0.31740406,0.0,Large seals
Large lemurs,0.0002086666202963066,0.3109229,4.1594107e-05,lemur
Large lemur,0.0002782221603950755,0.30855244,3.0741096e-05,lemur
deer,0.0008346664811852264,0.30530712,3.707409e-05,deers
Large deers,6.955554009876887e-05,0.291591,0.0,deers
hippopotamuss,0.01224177505738332,0.33249256,9.360097e-05,Large hippopotamuss
Large hippopotamuss,0.0025735549836544483,0.3257757,7.296897e-05,hippopotamuss
Large hippopotamus,0.0002782221603950755,0.30752617,3.338605e-05,Large hippopotamuss
flamingo,0.001530221882172915,0.31947598,4.0422787e-05,Large flamingo
flamingos,0.0004173332405926132,0.32019857,1.8368164e-05,Large flamingos
Large snake,0.012659108297975934,0.29781175,4.2055988e-05,snake
Large snakes,0.0009042220212839953,0.29527515,2.6070154e-05,Large snake
snakes,6.955554009876887e-05,0.27866796,0.0,Large snakes
Large mongoose,0.008763998052444877,0.30896834,0.00010996773,mongoose
ferret,0.015441329901926688,0.3006415,0.000111262,Large ferret
cow,0.01043333101481533,0.2967737,4.810969e-05,Large cow
Large cow,0.004451554566321208,0.3045333,8.3863735e-05,cow
Large cows,0.0002782221603950755,0.2937536,7.299334e-05,Large cow
Large goat,0.013076441538568547,0.3052878,4.971281e-05,Large goats
Large goats,0.0017388885024692217,0.30363476,0.00015980721,goats
Large panda,0.010363775474716562,0.31364477,6.4216205e-05,panda
panda,0.0038255547054322878,0.3051787,4.860271e-05,Large panda
Large pandas,0.0008346664811852264,0.31445754,5.2620966e-05,pandas
Large mole,0.006399109689086736,0.29078153,7.4842705e-05,Large moles
moles,6.955554009876887e-05,0.28006417,0.0,Large moles
Large moles,0.004521110106419976,0.291318,8.102564e-05,Large mole
Large porcupine,0.008068442651457189,0.3191989,0.00014371707,porcupine
Large raccoon,0.0009737775613827642,0.31000647,0.00021065133,raccoon
beaver,0.00431244348612367,0.29380262,6.007379e-05,Large beaver
whale,0.000556444320790151,0.2978767,4.94197e-05,Large whale
Large whales,6.955554009876887e-05,0.29712534,0.0,Large whale
donkey,0.012798219378173471,0.29834858,9.9669334e-05,Large donkey
Large donkey,0.002156221743061835,0.30507788,6.658031e-05,donkey
Large jaguars,6.955554009876887e-05,0.33142257,0.0,Large jaguar
dolphins,0.0004173332405926132,0.30765697,5.3554773e-05,dolphin
Large hedgehogs,6.955554009876887e-05,0.3236543,0.0,Large hedgehog
kangaroo,0.003199554844543368,0.31578985,9.409241e-05,Large kangaroo
Large kangaroo,0.011685330736593169,0.32338795,5.2713214e-05,kangaroo
kangaroos,6.955554009876887e-05,0.32978278,0.0,kangaroo
Large kangaroos,6.955554009876887e-05,0.3214265,0.0,kangaroos
ferrets,6.955554009876887e-05,0.31541684,0.0,Large ferrets
Large ferret,0.00013911108019753774,0.29673386,2.155453e-05,ferret
Large beaver,0.0022953328232593728,0.30068824,5.0219624e-05,beaver
raccoon,0.014745774500939,0.3158268,3.1255327e-05,Large raccoon
Large beavers,6.955554009876887e-05,0.30692512,0.0,Large beaver
Large raccoons,0.00013911108019753774,0.28392732,1.4230609e-06,raccoons
butterflys,0.005077554427210127,0.2968938,3.3842374e-05,Large butterflys
butterfly,0.006329554148987967,0.3001094,2.4785053e-05,butterflys
Large butterfly,0.0011824441816790708,0.2974088,1.966252e-05,Large butterflys
Large butterflys,0.0024344439034569105,0.29434472,5.229541e-05,butterflys
Large dog,0.01342421923906239,0.2661853,7.125874e-05,dog
dog,0.017945329345482368,0.25923964,4.0645748e-05,Large dog
Large dogs,0.00013911108019753774,0.28564376,0.00022740662,dogs
Large lynx,0.013702441399457466,0.30781332,0.00017062541,lynx
Large elephant,0.00799888711135842,0.30302975,3.607377e-05,elephant
elephant,0.011546219656395632,0.30175465,2.8029981e-05,Large elephant
Large elephants,0.0004868887806913821,0.30291006,3.8989954e-05,elephants
duck,0.00862488697224734,0.29641733,2.5172387e-05,Large duck
Large duck,0.0027126660638519856,0.30164942,2.4673267e-05,duck
bison,0.000556444320790151,0.30245975,1.3388693e-05,Large bison
Large bee,0.012798219378173471,0.30001247,7.17018e-05,Large bees
bees,0.0013215552618766084,0.28901327,1.1946026e-05,Large bees
bee,0.00013911108019753774,0.29072055,5.8040023e-06,Large bee
Large bees,0.0007651109410864575,0.29452178,3.4727833e-05,bees
Large cheetahs,0.00013911108019753774,0.32691324,1.8529594e-05,cheetahs
